INFO:__main__:episode: 106, state: init state:[[ 2 17 39  0  0  0  0  0  0  0  0  0  0  0]], score: [317.636363636], loss:[0.00280134717934], sequence:[0], random actions:[1709], e:[0.59]
INFO:__main__:episode: 107, state: init state:[[ 2 17 56  0  0  0  0  0  0  0  0  0  0  0]], score: [325.636363636], loss:[0.00278165029176], sequence:[0], random actions:[1648], e:[0.58]
INFO:__main__:episode: 108, state: init state:[[ 2 18 13  0  0  0  0  0  0  0  0  0  0  0]], score: [314.363636364], loss:[0.00289804761931], sequence:[0], random actions:[1686], e:[0.58]
INFO:__main__:episode: 109, state: init state:[[ 2 18 30  0  0  0  0  0  0  0  0  0  0  0]], score: [290.181818182], loss:[0.00292173024714], sequence:[0], random actions:[1720], e:[0.58]
INFO:__main__:episode: 110, state: init state:[[ 2 18 47  0  0  0  0  0  0  0  0  0  0  0]], score: [350.727272727], loss:[0.00307550506964], sequence:[0], random actions:[1678], e:[0.58]
INFO:__main__:episode: 111, state: init state:[[ 2 19  4  0  0  0  0  0  0  0  0  0  0  0]], score: [322.363636364], loss:[0.00304282450527], sequence:[0], random actions:[1688], e:[0.57]
INFO:__main__:episode: 112, state: init state:[[ 2 19 21  0  0  0  0  0  0  0  0  0  0  0]], score: [330.0], loss:[0.00311298525631], sequence:[0], random actions:[1661], e:[0.57]
INFO:__main__:episode: 113, state: init state:[[ 2 19 38  0  0  0  0  0  0  0  0  0  0  0]], score: [342.363636364], loss:[0.00311709216684], sequence:[0], random actions:[1631], e:[0.57]
INFO:__main__:episode: 114, state: init state:[[ 2 19 55  0  0  0  0  0  0  0  0  0  0  0]], score: [323.636363636], loss:[0.00313353103697], sequence:[0], random actions:[1603], e:[0.56]
INFO:__main__:episode: 115, state: init state:[[ 2 20 12  0  0  0  0  0  0  0  0  0  0  0]], score: [327.818181818], loss:[0.00322508815713], sequence:[0], random actions:[1631], e:[0.56]
INFO:__main__:episode: 116, state: init state:[[ 2 20 29  0  0  0  0  0  0  0  0  0  0  0]], score: [354.181818182], loss:[0.00326840915307], sequence:[0], random actions:[1572], e:[0.56]
INFO:__main__:episode: 117, state: init state:[[ 2 20 46  1  1  0  1  0  0  1  1  1  0  0]], score: [349.818181818], loss:[0.00338963489048], sequence:[0], random actions:[1573], e:[0.56]
INFO:__main__:episode: 118, state: init state:[[ 2 21  3  1  1  0  1  0  0  1  1  0  0  1]], score: [334.545454545], loss:[0.00333638609648], sequence:[0], random actions:[1623], e:[0.55]
INFO:__main__:episode: 119, state: init state:[[ 2 21 20  1  1  0  1  0  0  1  1  0  0  1]], score: [360.909090909], loss:[0.00347715986855], sequence:[0], random actions:[1614], e:[0.55]
INFO:__main__:episode: 120, state: init state:[[ 2 21 37  1  0  0  0  0  0  1  1  0  0  1]], score: [347.636363636], loss:[0.00358251561448], sequence:[0], random actions:[1638], e:[0.55]
INFO:__main__:episode: 121, state: init state:[[ 2 21 54  1  0  0  0  0  0  1  1  0  0  1]], score: [332.909090909], loss:[0.00364427467696], sequence:[0], random actions:[1602], e:[0.55]
